Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Sunrise_min,Sunset_min,Daytime
1,2007-05-01,83,50,67,14,51,56,0,2,448,1849, ,0,M,0.0,0.00,29.10,29.82,1.7,27,9.2,288,1129,841
1,2007-05-02,59,42,51,-3,42,47,14,0,447,1850,BR,0,M,0.0,0.00,29.38,30.09,13.0,4,13.4,287,1130,843
1,2007-05-03,66,46,56,2,40,48,9,0,446,1851, ,0,M,0.0,0.00,29.39,30.12,11.7,7,11.9,286,1131,845
1,2007-05-04,66,49,58,4,41,50,7,0,444,1852,RA,0,M,0.0,  T,29.31,30.05,10.4,8,10.8,284,1132,848
1,2007-05-05,66,53,60,5,38,49,5,0,443,1853, ,0,M,0.0,  T,29.40,30.10,11.7,7,12.0,283,1133,850
1,2007-05-06,68,49,59,4,30,46,6,0,442,1855, ,0,M,0.0,0.00,29.57,30.29,14.4,11,15.0,282,1135,853
1,2007-05-07,83,47,65,10,41,54,0,0,441,1856,RA,0,M,0.0,  T,29.38,30.12,8.6,18,10.5,281,1136,855
1,2007-05-08,82,54,68,12,58,62,0,3,439,1857,BR,0,M,0.0,0.00,29.29,30.03,2.7,11,5.8,279,1137,858
1,2007-05-09,77,61,69,13,59,63,0,4,438,1858,BR HZ,0,M,0.0,0.13,29.21,29.94,3.9,9,6.2,278,1138,860
1,2007-05-10,84,56,70,14,52,60,0,5,437,1859,BR,0,M,0.0,0.00,29.20,29.92,0.7,17,4.1,277,1139,862
1,2007-05-11,70,51,61,4,42,51,4,0,436,1860, ,0,M,0.0,0.00,29.33,30.04,11.3,3,12.9,276,1140,864
1,2007-05-12,64,46,55,-2,36,46,10,0,435,1901, ,0,M,0.0,0.00,29.49,30.20,12.4,3,12.9,275,1141,866
1,2007-05-13,69,43,56,-2,33,46,9,0,434,1902, ,0,M,0.0,0.00,29.49,30.24,6.6,14,8.1,274,1142,868
1,2007-05-14,90,56,73,15,47,59,0,8,433,1903, ,0,M,0.0,0.00,29.23,29.97,16.9,21,17.3,273,1143,870
