Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Daytime,Sunrise_min,Sunset_min
2,2007-05-01,84,52,68,M,51,57,0, 3,448,1849, ,M,M,M,0.00,29.18,29.82,2.7,25,9.6,841,288,1129
2,2007-05-02,60,43,52,M,42,47,13, 0,447,1850,BR HZ,M,M,M,0.00,29.44,30.08,13.3,2,13.4,843,287,1130
2,2007-05-03,67,48,58,M,40,50,7, 0,446,1851,HZ,M,M,M,0.00,29.46,30.12,12.9,6,13.2,845,286,1131
2,2007-05-04,78,51,M,M,42,50,M,M,444,1852, ,M,M,M,0.00,29.36,30.04,10.1,7,10.4,848,284,1132
2,2007-05-05,66,54,60,M,39,50,5, 0,443,1853, ,M,M,M,  T,29.46,30.09,11.2,7,11.5,850,283,1133
2,2007-05-06,68,52,60,M,30,46,5, 0,442,1855, ,M,M,M,0.00,29.62,30.28,13.8,10,14.5,853,282,1135
2,2007-05-07,84,50,67,M,39,53,0, 2,441,1856, ,M,M,M,0.00,29.44,30.12,8.5,17,9.9,855,281,1136
2,2007-05-08,80,60,70,M,57,63,0, 5,439,1857,HZ,M,M,M,  T,29.36,30.02,2.5,8,5.4,858,279,1137
2,2007-05-09,76,63,70,M,60,63,0, 5,438,1858,BR HZ,M,M,M,0.02,29.28,29.93,3.9,7,5.9,860,278,1138
2,2007-05-10,83,59,71,M,52,61,0, 6,437,1859,BR HZ,M,M,M,0.00,29.26,29.91,2.0,9,3.9,862,277,1139
2,2007-05-11,73,49,61,M,44,51,4, 0,436,1860, ,M,M,M,0.00,29.39,30.03,11.7,36,12.8,864,276,1140
2,2007-05-12,65,47,56,M,37,46,9, 0,435,1901, ,M,M,M,0.00,29.54,30.19,12.7,1,13.0,866,275,1141
2,2007-05-13,69,44,57,M,32,46,8, 0,434,1902, ,M,M,M,0.00,29.55,30.24,6.4,11,7.6,868,274,1142
2,2007-05-14,90,54,72,M,45,58,0, 7,433,1903, ,M,M,M,0.00,29.31,29.98,14.1,21,14.6,870,273,1143
2,2007-05-15,82,56,69,M,56,61,0, 4,432,1904,TSRA RA BR,M,M,M,0.60,29.19,29.83,8.1,25,10.8,872,272,1144
2,2007-05-16,64,45,55,M,42,47,10, 0,431,1905,RA BR,M,M,M,0.07,29.39,30.03,8.0,36,11.8,874,271,1145
2,2007-05-17,61,44,53,M,32,43,12, 0,430,1906, ,M,M,M,0.00,29.62,30.27,11.7,1,12.2,876,270,1146
2,2007-05-18,70,43,57,M,31,47,8, 0,429,1907, ,M,M,M,0.00,29.60,30.26,3.4,22,5.5,878,269,1147
2,2007-05-19,80,56,68,M,37,53,0, 3,428,1908, ,M,M,M,0.00,29.41,30.08,11.1,23,11.4,880,268,1148
2,2007-05-20,69,44,57,M,41,45,8, 0,427,1909,TSRA RA,M,M,M,0.11,29.44,30.11,8.6,3,9.7,882,267,1149
2,2007-05-21,79,46,63,M,50,57,2, 0,426,1910, ,M,M,M,0.00,29.39,30.05,6.3,10,7.8,884,266,1150
2,2007-05-22,87,60,74,M,44,58,0, 9,425,1911, ,M,M,M,0.00,29.41,30.05,10.1,16,10.6,886,265,1151
2,2007-05-23,89,66,78,M,48,61,0,13,425,1912, ,M,M,M,0.00,29.47,30.10,10.9,18,11.2,887,265,1152
2,2007-05-24,88,66,77,M,53,63,0,12,424,1913,RA HZ,M,M,M,  T,29.47,30.10,13.8,20,15.2,889,264,1153
2,2007-05-25,66,57,62,M,46,53,3, 0,423,1914,RA BR,M,M,M,0.09,29.57,30.23,4.5,5,8.2,891,263,1154
2,2007-05-26,70,50,60,M,55,57,5, 0,422,1915,TSRA RA BR,M,M,M,0.28,29.42,30.10,2.5,15,7.8,893,262,1155
2,2007-05-27,75,59,67,M,49,57,0, 2,422,1916,RA BR,M,M,M,0.08,29.41,30.05,8.2,24,9.2,894,262,1156
2,2007-05-28,76,54,65,M,49,57,0, 0,421,1916, ,M,M,M,0.00,29.49,30.14,4.7,8,5.2,895,261,1156
2,2007-05-29,88,65,77,M,59,66,0,12,421,1917,BR HZ,M,M,M,0.00,29.44,30.09,5.8,16,7.4,896,261,1157
2,2007-05-30,89,70,80,M,57,66,0,15,420,1918,HZ,M,M,M,0.00,29.38,30.03,9.7,17,10.1,898,260,1158
2,2007-05-31,80,68,74,M,61,66,0, 9,420,1919,RA BR,M,M,M,0.53,29.34,29.99,8.9,18,9.2,899,260,1159
2,2007-06-01,86,67,77,M,63,67,0,12,419,1920,TSRA BR HZ,M,M,M,0.21,29.25,29.90,4.7,16,5.8,901,259,1160
2,2007-06-02,81,68,75,M,62,67,0,10,419,1920,RA BR,M,M,M,  T,29.10,29.76,7.5,21,8.2,901,259,1160
2,2007-06-03,77,64,71,M,60,64,0, 6,418,1921,RA BR HZ VCTS,M,M,M,0.32,28.87,29.54,4.9,24,7.2,903,258,1161
2,2007-06-04,72,56,64,M,57,60,1, 0,418,1922,RA BR,M,M,M,0.31,28.88,29.51,7.9,30,10.1,904,258,1162
2,2007-06-05,63,51,57,M,47,52,8, 0,417,1923,RA BR,M,M,M,0.27,29.16,29.78,6.2,3,8.1,906,257,1163
2,2007-06-06,73,48,61,M,47,55,4, 0,417,1923,RA,M,M,M,  T,29.13,29.82,9.6,15,10.6,906,257,1163
2,2007-06-07,92,71,82,M,61,68,0,17,417,1924, ,M,M,M,0.00,28.91,29.55,20.3,19,20.7,907,257,1164
2,2007-06-08,81,63,72,M,54,62,0, 7,417,1925, ,M,M,M,0.00,29.24,29.83,9.3,26,12.4,908,257,1165
2,2007-06-09,79,57,68,M,49,58,0, 3,416,1925, ,M,M,M,0.00,29.42,30.05,2.4,19,4.7,909,256,1165
2,2007-06-10,81,61,71,M,50,60,0, 6,416,1926, ,M,M,M,0.00,29.39,30.04,4.6,16,5.8,910,256,1166
2,2007-06-11,85,65,75,M,51,61,0,10,416,1926, ,M,M,M,0.00,29.47,30.09,6.6,9,8.4,910,256,1166
2,2007-06-12,82,66,74,M,51,61,0, 9,416,1927, ,M,M,M,0.00,29.49,30.14,9.4,5,10.0,911,256,1167
2,2007-06-13,86,68,77,M,53,62,0,12,416,1927, ,M,M,M,0.00,M,M,7.0,5,M,911,256,1167
2,2007-06-14,89,68,79,M,54,63,0,14,416,1928, ,M,M,M,0.00,29.36,30.00,5.9,7,6.4,912,256,1168
2,2007-06-15,89,67,78,M,56,65,0,13,416,1928, ,M,M,M,0.00,29.34,29.97,3.8,9,4.1,912,256,1168
2,2007-06-16,92,68,80,M,61,68,0,15,416,1929,HZ,M,M,M,  T,29.33,29.96,2.1,22,6.1,913,256,1169
2,2007-06-17,91,71,81,M,65,70,0,16,416,1929,HZ,M,M,M,0.16,29.28,29.93,4.0,11,6.1,913,256,1169
2,2007-06-18,89,73,81,M,65,70,0,16,416,1929,TSRA RA HZ,M,M,M,0.02,29.19,29.83,12.2,20,12.6,913,256,1169
2,2007-06-19,81,65,73,M,55,63,0, 8,416,1930,RA BR,M,M,M,0.93,29.31,29.93,10.1,29,11.3,914,256,1170
2,2007-06-20,85,62,74,M,50,61,0, 9,416,1930, ,M,M,M,0.00,29.46,30.09,5.9,28,7.7,914,256,1170
2,2007-06-21,80,66,73,M,51,61,0, 8,416,1930,RA,M,M,M,  T,29.41,30.06,3.7,2,9.6,914,256,1170
2,2007-06-22,75,62,69,M,49,58,0, 4,417,1931,RA,M,M,M,  T,29.39,30.05,6.5,7,8.1,914,257,1171
2,2007-06-23,68,61,65,M,60,62,0, 0,417,1931,RA BR,M,M,M,0.34,29.28,29.95,7.3,11,8.1,914,257,1171
2,2007-06-24,75,65,70,M,62,65,0, 5,417,1931,BR HZ,M,M,M,0.00,29.33,29.96,5.6,10,6.0,914,257,1171
2,2007-06-25,86,67,77,M,67,70,0,12,417,1931,BR HZ,M,M,M,0.00,29.44,30.06,4.0,12,5.9,914,257,1171
2,2007-06-26,91,73,82,M,69,72,0,17,418,1931,BR HZ,M,M,M,  T,29.45,30.09,7.3,21,8.1,913,258,1171
2,2007-06-27,89,71,80,M,69,72,0,15,418,1931,TSRA RA BR,M,M,M,0.35,29.36,30.00,7.9,24,8.5,913,258,1171
2,2007-06-28,73,61,67,M,56,61,0, 2,419,1931, ,M,M,M,M,29.43,30.07,12.2,2,13.3,912,259,1171
2,2007-06-29,71,56,64,M,56,60,1, 0,419,1931, ,M,M,M,M,29.47,30.11,7.4,2,8.2,912,259,1171
2,2007-06-30,77,58,68,M,49,58,0, 3,419,1931, ,M,M,M,0.00,29.46,30.11,5.1,4,6.2,912,259,1171
2,2007-07-01,76,61,69,M,51,59,0, 4,420,1931, ,M,M,M,0.00,29.56,30.21,9.5,4,9.7,911,260,1171
2,2007-07-02,77,58,68,M,50,59,0, 3,420,1931, ,M,M,M,0.00,29.55,30.21,7.4,12,8.5,911,260,1171
2,2007-07-03,83,63,73,M,56,63,0, 8,421,1931,TSRA RA,M,M,M,0.09,29.38,30.05,6.4,21,7.4,910,261,1171
2,2007-07-04,84,67,76,M,65,69,0,11,422,1930,TSRA RA HZ FU,M,M,M,0.66,29.23,29.88,3.1,25,8.8,908,262,1170
2,2007-07-05,88,70,79,M,60,67,0,14,422,1930,BR,M,M,M,0.00,29.29,29.92,4.3,33,6.9,908,262,1170
2,2007-07-06,84,68,76,M,57,65,0,11,423,1930, ,M,M,M,0.00,29.38,30.01,3.3,7,5.5,907,263,1170
2,2007-07-07,88,68,78,M,62,68,0,13,423,1930, ,M,M,M,0.00,29.24,29.90,7.4,23,8.1,907,263,1170
2,2007-07-08,93,75,84,M,67,72,0,19,424,1929, ,M,M,M,0.00,29.12,29.76,12.6,23,12.7,905,264,1169
2,2007-07-09,93,72,83,M,67,71,0,18,425,1929,RA,M,M,M,0.24,29.16,29.79,4.8,23,8.8,904,265,1169
2,2007-07-10,89,70,80,M,67,71,0,15,425,1929,TSRA HZ,M,M,M,0.08,29.13,29.76,8.2,23,10.2,904,265,1169
2,2007-07-11,77,63,70,M,51,59,0, 5,426,1928, ,M,M,M,0.00,29.28,29.92,9.1,30,11.2,902,266,1168
2,2007-07-12,80,60,70,M,51,60,0, 5,427,1928,VCTS,M,M,M,0.00,29.28,29.92,10.0,28,11.4,901,267,1168
2,2007-07-13,74,59,67,M,53,59,0, 2,428,1927, ,M,M,M,0.00,29.33,29.98,2.0,7,5.8,899,268,1167
2,2007-07-14,85,62,74,M,55,62,0, 9,428,1927, ,M,M,M,0.00,29.14,29.79,8.4,25,13.9,899,268,1167
2,2007-07-15,80,64,72,M,52,61,0, 7,429,1926, ,M,M,M,0.00,29.25,29.88,1.2,9,6.5,897,269,1166
2,2007-07-16,82,66,74,M,60,65,0, 9,430,1925,TSRA RA,M,M,M,0.07,29.31,29.94,5.6,23,6.6,895,270,1165
