AvgSpeed,CodeSum,Cool,Date,Daytime,Depart,Depth,DewPoint,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,SnowFall,Station,StnPressure,Sunrise,Sunrise_min,Sunset,Sunset_min,Tavg,Tmax,Tmin,Water1,WetBulb
9.2, ,2,2007-05-01,841,14,0,51,0,0.00,27,1.7,29.82,0.0,1,29.10,448,288,1849,1129,67,83,50,M,56
13.4,BR,0,2007-05-02,843,-3,0,42,14,0.00,4,13.0,30.09,0.0,1,29.38,447,287,1850,1130,51,59,42,M,47
11.9, ,0,2007-05-03,845,2,0,40,9,0.00,7,11.7,30.12,0.0,1,29.39,446,286,1851,1131,56,66,46,M,48
10.8,RA,0,2007-05-04,848,4,0,41,7,  T,8,10.4,30.05,0.0,1,29.31,444,284,1852,1132,58,66,49,M,50
12.0, ,0,2007-05-05,850,5,0,38,5,  T,7,11.7,30.10,0.0,1,29.40,443,283,1853,1133,60,66,53,M,49
15.0, ,0,2007-05-06,853,4,0,30,6,0.00,11,14.4,30.29,0.0,1,29.57,442,282,1855,1135,59,68,49,M,46
10.5,RA,0,2007-05-07,855,10,0,41,0,  T,18,8.6,30.12,0.0,1,29.38,441,281,1856,1136,65,83,47,M,54
5.8,BR,3,2007-05-08,858,12,0,58,0,0.00,11,2.7,30.03,0.0,1,29.29,439,279,1857,1137,68,82,54,M,62
6.2,BR HZ,4,2007-05-09,860,13,0,59,0,0.13,9,3.9,29.94,0.0,1,29.21,438,278,1858,1138,69,77,61,M,63
4.1,BR,5,2007-05-10,862,14,0,52,0,0.00,17,0.7,29.92,0.0,1,29.20,437,277,1859,1139,70,84,56,M,60
12.9, ,0,2007-05-11,864,4,0,42,4,0.00,3,11.3,30.04,0.0,1,29.33,436,276,1860,1140,61,70,51,M,51
12.9, ,0,2007-05-12,866,-2,0,36,10,0.00,3,12.4,30.20,0.0,1,29.49,435,275,1901,1141,55,64,46,M,46
8.1, ,0,2007-05-13,868,-2,0,33,9,0.00,14,6.6,30.24,0.0,1,29.49,434,274,1902,1142,56,69,43,M,46
17.3, ,8,2007-05-14,870,15,0,47,0,0.00,21,16.9,29.97,0.0,1,29.23,433,273,1903,1143,73,90,56,M,59
12.3,RA BR,4,2007-05-15,872,11,0,56,0,0.38,27,8.1,29.84,0.0,1,29.13,432,272,1904,1144,69,80,57,M,61
12.2,RA BR,0,2007-05-16,874,-4,0,43,10,0.14,36,7.8,30.03,0.0,1,29.33,431,271,1905,1145,55,66,44,M,48
11.3, ,0,2007-05-17,876,-6,0,32,12,0.00,3,10.5,30.27,0.0,1,29.55,430,270,1906,1146,53,62,43,M,43
7.5, ,0,2007-05-18,878,-3,0,30,8,0.00,25,5.4,30.25,0.0,1,29.53,429,269,1907,1147,57,71,42,M,46
11.4, ,3,2007-05-19,880,8,0,39,0,0.00,24,11.1,30.08,0.0,1,29.34,428,268,1908,1148,68,80,56,M,53
10.7,RA VCTS,0,2007-05-20,882,-5,0,40,9,0.07,4,10.4,30.11,0.0,1,29.38,427,267,1909,1149,56,69,43,M,44
8.2, ,0,2007-05-21,884,1,0,50,3,0.00,11,6.3,30.06,0.0,1,29.33,426,266,1910,1150,62,80,44,M,56
10.2, ,6,2007-05-22,886,10,0,46,0,0.00,18,10.0,30.06,0.0,1,29.34,425,265,1911,1151,71,87,55,M,58
11.8, ,10,2007-05-23,887,14,0,49,0,0.00,19,11.4,30.10,0.0,1,29.39,425,265,1912,1152,75,89,60,M,61
17.3,RA HZ,11,2007-05-24,889,14,0,54,0,0.02,21,14.9,30.11,0.0,1,29.41,424,264,1913,1153,76,88,63,M,63
8.8, ,0,2007-05-25,891,1,0,44,2,  T,5,4.9,30.24,0.0,1,29.51,423,263,1914,1154,63,70,56,M,53
7.2,TSRA RA BR HZ,0,2007-05-26,893,-5,0,55,8,1.01,17,2.8,30.11,0.0,1,29.36,422,262,1915,1155,57,65,49,M,56
9.5,RA BR,1,2007-05-27,894,4,0,47,0,0.04,26,8.9,30.06,0.0,1,29.34,422,262,1916,1156,66,75,57,M,56
5.3,RA,0,2007-05-28,895,2,0,47,0,  T,10,4.8,30.15,0.0,1,29.43,421,261,1916,1156,65,79,50,M,56
6.5,BR HZ,9,2007-05-29,896,10,0,58,0,0.00,18,5.8,30.11,0.0,1,29.39,421,261,1917,1157,74,88,60,M,65
10.6,HZ,12,2007-05-30,898,13,0,58,0,0.00,19,10.3,30.04,0.0,1,29.31,420,260,1918,1158,77,87,66,M,65
9.9,RA HZ,7,2007-05-31,899,8,0,61,0,0.01,19,9.3,30.00,0.0,1,29.28,420,260,1919,1159,72,78,65,M,65
6.4,TSRA BR HZ,9,2007-06-01,901,10,0,63,0,0.19,17,4.2,29.91,0.0,1,29.19,419,259,1920,1160,74,85,62,M,66
7.4,RA BR,8,2007-06-02,901,9,0,63,0,0.04,22,6.5,29.77,0.0,1,29.03,419,259,1920,1160,73,81,65,M,67
6.7,TSRA RA BR HZ,5,2007-06-03,903,6,0,60,0,0.01,25,5.2,29.56,0.0,1,28.82,418,258,1921,1161,70,78,62,M,63
9.7,TSRA RA BR,0,2007-06-04,904,1,0,58,0,0.39,31,7.8,29.52,0.0,1,28.82,418,258,1922,1162,65,71,58,M,60
