Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,AvgSpeed,CodeSum,Daytime,Depart,DewPoint,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,StnPressure,Sunrise,Sunrise_min,Sunset,Sunset_min,Tavg,Tmax,Tmin,WetBulb,PrecipCat,NewCodeSum
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,6.5,None,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,No_Precip,0
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,6.5,None,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,No_Precip,0
2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,6.5,None,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,No_Precip,0
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,6.5,None,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,No_Precip,0
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,6.5,None,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,No_Precip,0
2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,6.5,None,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,No_Precip,0
2007-05-29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999996,8,1,0,6.5,None,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,No_Precip,0
2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,7.6,None,906,-9,48,0.42,5,5.2,29.79,29.1,417,257,1923,1163,56,64,47,51,Trace,0
2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,5,0,7.6,None,906,-9,48,0.42,5,5.2,29.79,29.1,417,257,1923,1163,56,64,47,51,Trace,0
2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,7.6,None,906,-9,48,0.42,5,5.2,29.79,29.1,417,257,1923,1163,56,64,47,51,Trace,0
