Block,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,AvgSpeed,Daytime,Depart,DewPoint,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,StnPressure,Sunrise,Sunrise_min,Sunset,Sunset_min,Tavg,Tmax,Tmin,WetBulb,Year,Month,Day,Trap_002,Trap_003,Trap_004,Trap_005,Trap_006,Trap_007,Trap_008,Trap_009,Trap_011,Trap_012,Trap_013,Trap_014,Trap_015,Trap_016,Trap_017,Trap_018,Trap_019,Trap_025,Trap_027,Trap_028,Trap_030,Trap_031,Trap_033,Trap_034,Trap_035,Trap_036,Trap_037,Trap_039,Trap_040,Trap_043,Trap_044,Trap_045,Trap_046,Trap_047,Trap_048,Trap_049,Trap_050,Trap_051,Trap_054,Trap_060,Trap_061,Trap_062,Trap_063,Trap_065,Trap_066,Trap_067,Trap_069,Trap_070,Trap_071,Trap_072,Trap_073,Trap_074,Trap_075,Trap_076,Trap_077,Trap_078,Trap_079,Trap_080,Trap_081,Trap_082,Trap_083,Trap_084,Trap_085,Trap_086,Trap_088,Trap_089,Trap_090,Trap_091,Trap_092,Trap_094,Trap_095,Trap_096,Trap_097,Trap_099,Trap_100,Trap_102,Trap_103,Trap_107,Trap_114,Trap_115,Trap_128,Trap_129,Trap_135,Trap_138,Trap_141,Trap_142,Trap_143,Trap_144,Trap_145,Trap_146,Trap_147,Trap_148,Trap_149,Trap_150,Trap_151,Trap_152,Trap_153,Trap_154,Trap_155,Trap_156,Trap_157,Trap_158,Trap_159,Trap_160,Trap_161,Trap_162,Trap_200,Trap_206,Trap_209,Trap_212,Trap_215,Trap_218,Trap_219,Trap_220,Trap_221,Trap_222,Trap_223,Trap_224,Trap_225,Trap_226,Trap_227,Trap_228,Trap_229,Trap_230,Trap_231,Trap_232,Trap_233,Trap_235,Trap_236,Trap_237,Trap_238,Trap_900,Trap_903,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,NewCodeSum_1,PrecipCat_Precip,PrecipCat_Trace
41,41.95469,-87.800991,9,1,0,6.5,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,2007,5,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,41.95469,-87.800991,9,1,0,6.5,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,2007,5,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,41.994991,-87.769279,9,1,0,6.5,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,2007,5,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,41.974089,-87.824812,8,1,0,6.5,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,2007,5,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,41.974089,-87.824812,8,4,0,6.5,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,2007,5,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,41.999129,-87.795585,8,1,0,6.5,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,2007,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,42.01743,-87.68776899999996,8,1,0,6.5,896,10,58,0.0,18,5.8,30.11,29.39,421,261,1917,1157,74,88,60,65,2007,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,41.95469,-87.800991,9,3,0,7.6,906,-9,48,0.42,5,5.2,29.79,29.1,417,257,1923,1163,56,64,47,51,2007,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
41,41.95469,-87.800991,9,5,0,7.6,906,-9,48,0.42,5,5.2,29.79,29.1,417,257,1923,1163,56,64,47,51,2007,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41,41.95469,-87.800991,9,1,0,7.6,906,-9,48,0.42,5,5.2,29.79,29.1,417,257,1923,1163,56,64,47,51,2007,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
